"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Malcom Nunez","Cardinals (R)","17","44","164","199","68","37","16","2","13","44","59","26","3","29","5","4","0","2","3","0",".415","sa3008113"
"Jose Villa","- - -","19","39","132","139","51","35","8","6","2","16","26","2","0","27","5","0","0","1","5","3",".386","sa3003253"
"Yuniesky Betancourt","Mexican (AAA)","36","112","461","485","178","120","42","1","15","68","85","19","2","37","1","4","0","10","6","2",".386","8585"
"Vladimir Guerrero Jr.","- - -","19","95","357","408","136","86","29","1","20","67","78","37","5","38","5","8","1","10","3","3",".381","sa920245"
"Isaac Rodriguez Salazar","Mexican (AAA)","27","103","418","479","155","118","25","4","8","85","61","40","0","55","8","6","7","8","31","7",".371","sa878470"
"Cal Stevenson","- - -","21","59","214","280","79","56","15","6","2","73","31","64","0","24","0","2","0","2","21","1",".369","sa3006871"
"Luis Garcia","Phillies (R)","17","43","168","187","62","47","11","3","1","33","32","15","1","21","4","0","0","1","12","8",".369","sa3007295"
"Francisco Peguero","Mexican (AAA)","30","52","212","238","78","49","14","2","13","42","60","14","1","51","7","5","0","10","0","0",".368","5496"
"Brian Hernandez","Mexican (AAA)","29","109","444","497","163","124","28","0","11","71","92","40","2","55","7","6","0","21","1","2",".367","sa503330"
"Logan O'Hoppe","Phillies (R)","18","34","109","124","40","27","10","1","2","19","21","10","0","28","1","4","0","2","2","1",".367","sa3007519"
"Diosbel Arias","Rangers (A-)","21","61","224","264","82","62","15","2","3","43","44","33","2","39","4","3","0","8","5","1",".366","sa3005308"
"Tucupita Marcano","- - -","18","52","194","237","71","62","5","3","1","45","26","30","1","16","3","4","6","3","15","7",".366","sa3002857"
"Michael Wing","Mexican (AAA)","29","83","301","338","110","68","22","2","18","60","76","25","0","77","3","7","2","8","3","1",".365","sa392185"
"Connor Hollis","Rays (R)","23","48","170","207","62","44","11","0","7","48","26","28","0","30","7","2","0","2","8","3",".365","sa3007870"
"Jesus Valdez","Mexican (AAA)","33","53","206","225","75","54","10","3","8","37","42","17","0","22","2","0","0","8","2","1",".364","sa244229"
"Victor Mendoza","Mexican (AAA)","27","41","110","123","40","27","8","0","5","17","18","13","2","16","0","0","0","4","0","0",".364","sa722315"
"Jon Del Campo","Mexican (AAA)","30","100","391","416","142","99","32","3","8","51","88","15","3","68","4","2","4","13","5","2",".363","sa328104"
"Olmo Rosario","Mexican (AAA)","37","112","444","491","161","119","23","4","15","68","84","39","3","46","0","8","0","14","8","6",".363","sa202325"
"Milton Smith","- - -","20","36","116","133","42","35","6","1","0","26","2","14","0","22","1","0","2","1","7","3",".362","sa3007076"
"Juan Soto","- - -","19","39","152","182","55","27","10","4","14","33","52","29","1","28","0","1","0","5","3","1",".362","20123"
"Henry Urrutia","- - -","31","88","332","388","120","82","24","1","13","64","73","53","5","63","3","0","0","8","3","0",".361","14441"
"Balbino Fuenmayor","Mexican (AAA)","28","104","410","443","148","106","24","0","18","50","80","23","9","69","9","1","0","7","0","0",".361","sa356978"
"Richard Palacios","- - -","21","45","169","190","61","45","8","2","6","26","30","19","0","27","0","2","0","3","7","1",".361","sa3006908"
"Michael Helman","- - -","22","39","147","164","53","41","6","2","4","28","22","9","0","18","5","3","0","2","10","6",".361","sa3008280"
"Gabriel Moreno","- - -","18","40","153","167","55","32","17","2","4","24","36","7","1","20","4","3","0","4","2","1",".359","sa3003226"
"Joerlin De Los Santos","Cardinals (R)","17","64","234","282","84","59","18","6","1","66","28","41","1","36","3","1","3","2","30","9",".359","sa3005723"
"Jose Alvarez","Astros (R)","18","44","131","152","47","39","8","0","0","23","15","17","0","27","2","2","0","1","5","2",".359","sa3003377"
"Tony Pena","- - -","20","39","137","150","49","33","10","1","5","37","31","11","0","39","2","0","0","1","5","1",".358","sa922560"
"Jose Heberto Felix","Mexican (AAA)","30","80","291","316","104","83","19","0","2","39","41","11","0","13","3","1","10","12","2","2",".357","sa447630"
"Jarren Duran","- - -","21","67","283","302","101","73","14","11","3","52","35","16","0","48","2","1","0","3","24","10",".357","sa3006786"
"Amado Nunez","White Sox (R)","20","60","241","259","86","53","21","6","6","39","52","15","0","71","1","2","0","5","3","0",".357","sa877349"
"Kyle Kasser","Royals (R)","22","42","171","186","61","54","6","0","1","25","29","13","0","17","0","1","1","2","1","0",".357","sa3006916"
"Yainer Diaz","Indians (R)","19","41","155","164","55","40","9","4","2","27","28","7","0","18","1","0","1","4","1","0",".355","sa3003386"
"Zack Shannon","Diamondbacks (R)","22","54","189","228","67","35","17","1","14","45","55","28","2","43","5","6","0","7","0","0",".354","sa3006647"
"Alejandro Kirk","Blue Jays (R)","19","58","206","244","73","52","10","1","10","31","57","33","3","21","2","3","0","7","2","0",".354","sa3005337"
"Nathan Eaton","Royals (R)","21","66","260","303","92","55","20","12","5","59","53","33","0","60","4","5","1","5","19","5",".354","sa3007074"
"Davis Bradshaw","- - -","20","46","164","184","58","49","6","3","0","25","19","12","1","27","6","0","2","1","20","5",".354","sa3007031"
"Robbie Podorsky","- - -","23","62","224","248","79","65","7","6","1","38","27","12","0","28","7","0","5","3","24","6",".353","sa3004066"
"CJ Alexander","- - -","21","52","196","226","69","52","8","7","2","21","27","27","0","42","1","2","0","3","4","2",".352","sa3006912"
"Luis Juarez","Mexican (AAA)","28","88","341","382","120","82","19","0","19","68","82","32","6","26","4","5","0","13","1","3",".352","sa509384"
"Tyler Freeman","Indians (A-)","19","72","270","301","95","60","29","4","2","49","38","8","1","22","19","4","0","9","14","3",".352","sa3004755"
"Jesus Castillo","Mexican (AAA)","35","107","378","486","133","90","25","1","17","82","100","92","12","57","9","7","0","0","4","2",".352","sa508184"
"Everth Cabrera","- - -","31","194","739","838","260","210","33","10","7","152","76","73","4","133","2","0","24","16","39","17",".352","8155"
"Luis Castro","- - -","22","57","202","236","71","44","17","2","8","34","36","20","1","48","12","2","0","1","8","2",".351","sa736954"
"Wander Franco","Rays (R)","17","61","242","273","85","57","10","7","11","46","57","27","1","19","2","2","0","5","4","3",".351","sa3007033"
"David Fletcher","Angels (AAA)","24","58","254","275","89","53","25","5","6","55","37","16","0","21","3","1","1","8","7","2",".350","17992"
"Grant Lavigne","Rockies (R)","18","59","206","258","72","51","13","2","6","45","38","45","1","40","6","1","0","2","12","7",".350","sa3007743"
"Taylor Ward","- - -","24","102","375","446","131","91","26","0","14","68","60","65","2","94","3","3","0","10","18","3",".349","17548"
"David Freitas","Mariners (AAA)","29","39","146","167","51","34","12","1","4","15","23","17","1","27","3","0","0","4","0","0",".349","10619"
"John Valente","- - -","23","48","189","197","66","50","13","1","2","26","22","6","1","17","1","1","0","2","10","7",".349","sa3006923"
"Axel Andueza","- - -","19","62","235","260","82","62","17","3","0","41","36","18","0","22","4","2","0","4","6","0",".349","sa3002712"
"Jose Lobaton","Mets (AAA)","33","39","132","151","46","29","9","0","8","22","27","18","2","31","1","0","0","2","1","0",".348","4243"
"Chase Lambert","Pirates (R)","22","32","112","134","39","32","4","1","2","19","20","16","0","12","3","3","0","4","6","0",".348","sa3007526"
"Luis Santana","Mets (R)","18","53","204","242","71","54","13","0","4","34","35","27","0","23","10","1","0","5","8","3",".348","sa921577"
"Alex Kirilloff","- - -","20","130","512","561","178","107","44","7","20","75","101","38","4","86","4","7","0","10","4","3",".348","sa917929"
"Jake Fraley","Rays (A+)","23","66","225","260","78","48","19","7","4","39","41","26","0","44","4","5","0","6","11","8",".347","sa857756"
"Brandon Dixon","Reds (AAA)","26","49","179","193","62","36","18","2","6","28","23","12","1","54","1","1","0","3","9","3",".346","15214"
"Xavier Edwards","- - -","18","45","159","195","55","46","8","1","0","40","16","31","1","25","1","1","3","0","22","1",".346","sa3007018"
"Austin Dean","- - -","24","109","397","446","137","100","20","5","12","71","68","39","0","56","7","3","0","6","2","2",".345","18288"
"Zachery Almond","Diamondbacks (R)","22","56","229","247","79","49","16","1","13","43","53","13","0","40","3","2","0","11","2","0",".345","sa3005104"
"Ryan Jeffers","- - -","21","64","241","284","83","59","17","0","7","48","33","34","0","46","9","0","0","7","0","1",".344","sa3007051"
"Sergio Perez","Mexican (AAA)","28","98","375","406","129","91","29","5","4","67","50","24","4","55","5","1","1","9","4","4",".344","sa508059"
"Ronnier Mustelier","Mexican (AAA)","33","90","317","363","109","88","16","1","4","35","50","34","2","34","4","4","4","8","3","1",".344","sa601536"
"Osleivis Basabe","Rangers (R)","17","52","192","222","66","46","16","3","1","37","34","23","0","25","2","3","2","1","12","6",".344","sa3006594"
"Austin Slater","Giants (AAA)","25","53","195","223","67","36","24","2","5","32","32","21","0","39","5","2","0","8","8","2",".344","16153"
"Deivi Munoz","Yankees (R)","18","41","131","142","45","26","10","9","0","26","19","9","0","16","1","1","0","2","12","4",".344","sa3006214"
