Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Ryan Weber","Red Sox (AAA)",28,1,1,5.04,5,5,1,0,0,0,,25,104,26,14,14,4,5,0,2,1,0,18,"10160"
"Erasmo Ramirez","Red Sox (AAA)",29,1,2,4.909090909090909,5,5,0,0,0,0,,22,92,19,13,12,4,8,0,1,0,0,13,"10314"
"Donn Roach","White Sox (AAA)",29,0,2,10.25316579470644,6,6,0,0,0,0,,26.1,132,45,34,30,7,9,0,0,1,0,18,"10620"
"Scott Copeland","Nationals (AAA)",31,2,1,5.451922277021808,6,6,0,0,0,0,,34.2,153,34,24,21,7,13,0,4,4,0,28,"10706"
"Drew Hutchison","Yankees (AAA)",28,2,1,4.909090301081385,5,3,0,0,0,0,,25.2,114,24,15,14,2,15,1,3,1,0,28,"10732"
"Asher Wojciechowski","Indians (AAA)",30,3,1,1.96875,6,6,0,0,0,0,,32,133,23,8,7,2,15,0,2,0,0,32,"10836"
"Jake Buchanan","Athletics (AAA)",29,2,1,6.387096774193548,6,6,0,0,0,0,,31,142,38,24,22,8,14,0,3,0,0,21,"10962"
"Ben Rowen","- - -",30,4,0,0.771428676527388,10,1,0,0,0,0,,23.1,88,14,3,2,0,4,0,1,0,0,21,"10983"
"Zach Lee","Mets (AAA)",27,1,0,5.082353511401178,6,6,0,0,0,0,,28.1,126,38,18,16,1,11,0,0,0,0,22,"11468"
"Williams Perez","Cardinals (AA)",28,3,1,4.864864864864865,7,7,0,0,0,0,,37,163,39,21,20,6,17,1,0,0,0,40,"11592"
"Justin Nicolino","- - -",27,1,1,5.704226884499908,5,4,0,0,0,0,,23.2,107,30,16,15,5,11,0,1,1,0,15,"11754"
"Colin Rea","Cubs (AAA)",28,3,0,2.9700004531861044,6,6,0,0,0,0,,33.1,133,30,12,11,4,11,0,1,0,0,23,"12317"
"Ryan Carpenter","Tigers (AAA)",28,1,4,4.090909090909091,6,6,0,0,0,0,,33,137,28,15,15,4,11,0,1,0,0,27,"12699"
"Adrian Houser","Brewers (AAA)",26,2,0,1.2656251885928496,4,4,0,0,0,0,,21.1,84,13,4,3,2,4,0,3,1,0,23,"12718"
"Sean Gilmartin","Orioles (AAA)",29,0,1,2.6129028238938203,9,2,0,0,0,0,,20.2,85,16,8,6,1,7,0,1,1,0,20,"12781"
"Burch Smith","Brewers (AAA)",29,3,1,1.3670887726275254,5,5,0,0,0,0,,26.1,103,14,4,4,1,11,0,3,0,0,27,"12784"
"Logan Verrett","Athletics (AA)",29,0,0,4.280488302706312,6,3,0,0,0,0,,27.1,108,26,13,13,4,4,0,1,0,0,25,"12905"
"Brady Rodgers","Astros (AAA)",28,3,0,2.75,6,6,0,0,0,0,,36,145,32,11,11,4,11,0,0,1,0,25,"13393"
"Lucas Sims","Reds (AAA)",25,2,0,4.453608948007005,7,7,0,0,0,0,,32.1,145,32,18,16,4,14,0,2,0,0,49,"13470"
"Ryan Merritt","Rays (AAA)",27,2,2,6.954545454545454,6,4,0,0,0,0,,22,101,36,17,17,6,4,0,0,1,0,20,"13688"
"Jake Faria","Rays (AAA)",25,2,1,7.434782608695652,7,6,0,0,0,0,,23,113,31,20,19,3,15,0,0,1,0,31,"13699"
"Dietrich Enns","Padres (AAA)",28,4,1,4.542055427044246,7,5,0,0,0,0,,35.2,149,36,19,18,5,9,0,0,0,0,33,"13932"
"Ryan Garton","Mariners (AAA)",29,2,0,3.323076435518054,10,1,0,0,0,1,,21.2,87,19,8,8,4,7,0,0,1,0,23,"14016"
"Ty Blach","Giants (AAA)",28,1,1,5.7857150739554095,5,5,0,0,0,0,,23.1,106,33,15,15,1,5,0,0,1,0,17,"14361"
"Jackson Stephens","Reds (AAA)",25,3,0,3.483870431858427,13,0,0,0,0,1,,20.2,86,15,9,8,1,10,0,2,0,0,21,"14420"
"Chi Chi Gonzalez","Rockies (AAA)",27,2,2,8.4,6,6,0,0,0,0,,30,145,44,29,28,6,13,0,2,2,0,30,"14663"
"Duane Underwood Jr.","Cubs (AAA)",24,2,3,6.035294794788898,6,6,0,0,0,0,,28.1,128,27,20,19,3,16,1,0,2,0,30,"14677"
"Andres Machado","Royals (AAA)",26,0,0,3.5409841601550243,9,0,0,0,1,0,,20.1,86,15,8,8,4,10,0,1,1,0,18,"14681"
"Paul Blackburn","Athletics (AAA)",25,4,1,4.5,6,6,0,0,0,0,,30,126,29,18,15,7,8,0,1,1,0,24,"14739"
"Rookie Davis","Pirates (AAA)",26,0,3,6.3,6,6,0,0,0,0,,30,135,35,21,21,6,12,0,0,1,0,23,"14962"
