"Name","Team","Age","playerid","mlbid","NameTeam"
"Vladimir Guerrero Jr.","- - -",19,"sa920245",665489,"Vladimir Guerrero Jr. (- - -)"
"Cal Stevenson","- - -",21,"sa3006871",670276,"Cal Stevenson (- - -)"
"Diosbel Arias","Rangers (A-)",21,"sa3005308",677690,"Diosbel Arias (Rangers (A-))"
"Tucupita Marcano","- - -",18,"sa3002857",672779,"Tucupita Marcano (- - -)"
"Connor Hollis","Rays (R)",23,"sa3007870",667442,"Connor Hollis (Rays (R))"
"Joerlin De Los Santos","Cardinals (R)",17,"sa3005723",677621,"Joerlin De Los Santos (Cardinals (R))"
"Jarren Duran","- - -",21,"sa3006786",680776,"Jarren Duran (- - -)"
"Amado Nunez","White Sox (R)",20,"sa877349",658535,"Amado Nunez (White Sox (R))"
"Zack Shannon","Diamondbacks (R)",22,"sa3006647",656951,"Zack Shannon (Diamondbacks (R))"
"Alejandro Kirk","Blue Jays (R)",19,"sa3005337",672386,"Alejandro Kirk (Blue Jays (R))"
"Nathan Eaton","Royals (R)",21,"sa3007074",681987,"Nathan Eaton (Royals (R))"
"Robbie Podorsky","- - -",23,"sa3004066",676864,"Robbie Podorsky (- - -)"
"CJ Alexander","- - -",21,"sa3006912",680769,"CJ Alexander (- - -)"
"Tyler Freeman","Indians (A-)",19,"sa3004755",671289,"Tyler Freeman (Indians (A-))"
"Luis Castro","- - -",22,"sa736954",620449,"Luis Castro (- - -)"
"Wander Franco","Rays (R)",17,"sa3007033",622568,"Wander Franco (Rays (R))"
"Grant Lavigne","Rockies (R)",18,"sa3007743",680693,"Grant Lavigne (Rockies (R))"
"Axel Andueza","- - -",19,"sa3002712",672847,"Axel Andueza (- - -)"
"Luis Santana","Mets (R)",18,"sa921577",670919,"Luis Santana (Mets (R))"
"Alex Kirilloff","- - -",20,"sa917929",666135,"Alex Kirilloff (- - -)"
"Jake Fraley","Rays (A+)",23,"sa857756",641584,"Jake Fraley (Rays (A+))"
"Zachery Almond","Diamondbacks (R)",22,"sa3005104",676990,"Zachery Almond (Diamondbacks (R))"
"Ryan Jeffers","- - -",21,"sa3007051",680777,"Ryan Jeffers (- - -)"
"Osleivis Basabe","Rangers (R)",17,"sa3006594",678545,"Osleivis Basabe (Rangers (R))"
"Yeison Asencio","- - -",28,"sa548016",593772,"Yeison Asencio (- - -)"
"Ronaiker Palma","- - -",18,"sa3005624",681623,"Ronaiker Palma (- - -)"
"Alec Keller","- - -",26,"sa829219",657636,"Alec Keller (- - -)"
"Curtis Terry","Rangers (A-)",21,"sa875607",663799,"Curtis Terry (Rangers (A-))"
"Carlos Soler","- - -",18,"sa3003320",672751,"Carlos Soler (- - -)"
"Eloy Jimenez","- - -",21,"sa830373",650391,"Eloy Jimenez (- - -)"
"Amadeo Zazueta","- - -",32,"sa328602",469117,"Amadeo Zazueta (- - -)"
"Leandro Cedeno","Cardinals (R)",19,"sa873307",660681,"Leandro Cedeno (Cardinals (R))"
"Bobby Honeyman","- - -",22,"sa3006645",656551,"Bobby Honeyman (- - -)"
"Owen Miller","- - -",21,"sa3006673",680911,"Owen Miller (- - -)"
"Eddie Silva","- - -",22,"sa3007942",656962,"Eddie Silva (- - -)"
"Brayan Rocchio","- - -",17,"sa3005898",677587,"Brayan Rocchio (- - -)"
"Coco Montes","Rockies (R)",21,"sa3006715",663796,"Coco Montes (Rockies (R))"
"Alek Thomas","- - -",18,"sa3006892",677950,"Alek Thomas (- - -)"
"Luis Fonseca","- - -",33,"sa592342",602337,"Luis Fonseca (- - -)"
"Andres Regnault","Mets (R)",19,"sa917499",666685,"Andres Regnault (Mets (R))"
"Colton Welker","Rockies (A+)",20,"sa917962",666213,"Colton Welker (Rockies (A+))"
"Daniel Robinson","Dodgers (R)",21,"sa3007027",674974,"Daniel Robinson (Dodgers (R))"
"Yaniery Guzman","Rangers (R)",20,"sa3003383",673200,"Yaniery Guzman (Rangers (R))"
"Kevin Medrano","- - -",28,"sa577957",605378,"Kevin Medrano (- - -)"
"Victor Heredia","Twins (R)",18,"sa3002625",672740,"Victor Heredia (Twins (R))"
"Mariel Bautista","Reds (R)",20,"sa872535",660647,"Mariel Bautista (Reds (R))"
"Miguel Vargas","- - -",18,"sa3006896",678246,"Miguel Vargas (- - -)"
"Nathaniel Lowe","- - -",22,"sa918283",663993,"Nathaniel Lowe (- - -)"
"Edgardo Rodriguez","Rays (R)",17,"sa3005532",678614,"Edgardo Rodriguez (Rays (R))"
"Todd Czinege","- - -",23,"sa873611",676920,"Todd Czinege (- - -)"
"Blaze Alexander","- - -",19,"sa3007742",677942,"Blaze Alexander (- - -)"
"Matt Hearn","- - -",22,"sa918523",670413,"Matt Hearn (- - -)"
"Tyler Nevin","Rockies (A+)",21,"sa874752",663527,"Tyler Nevin (Rockies (A+))"
"Buddy Kennedy","Diamondbacks (R)",19,"sa3004617",671083,"Buddy Kennedy (Diamondbacks (R))"
"Niko Decolati","Rockies (R)",20,"sa3006670",680719,"Niko Decolati (Rockies (R))"
"Josh Fuentes","Rockies (AAA)",25,"sa829934",658069,"Josh Fuentes (Rockies (AAA))"
"Brock Deatherage","- - -",22,"sa3006848",656361,"Brock Deatherage (- - -)"
"Kyle Isbel","- - -",21,"sa3006861",664728,"Kyle Isbel (- - -)"
"Jonathan Jones","- - -",28,"sa526453",592445,"Jonathan Jones (- - -)"
"Antonio Lamas","- - -",28,"sa502224",538079,"Antonio Lamas (- - -)"
"Fidel Mejia","Cubs (R)",19,"sa872516",660693,"Fidel Mejia (Cubs (R))"
"Eliezer Alfonzo","- - -",18,"sa3003262",672613,"Eliezer Alfonzo (- - -)"
"Gavin Lux","- - -",20,"sa917933",666158,"Gavin Lux (- - -)"
"Ruben Santana","Twins (R)",20,"sa917167",666680,"Ruben Santana (Twins (R))"
"Jim Haley","Rays (A)",23,"sa918418",670113,"Jim Haley (Rays (A))"
"Pablo Olivares","- - -",20,"sa872547",660690,"Pablo Olivares (- - -)"
"Geraldo Perdomo","- - -",18,"sa3003290",672695,"Geraldo Perdomo (- - -)"
"Tanner Nishioka","- - -",23,"sa3002754",641920,"Tanner Nishioka (- - -)"
"Will Golsan","Rockies (R)",22,"sa3006719",674160,"Will Golsan (Rockies (R))"
"Walter Rasquin","- - -",22,"sa754712",644418,"Walter Rasquin (- - -)"
"Matt Vierling","- - -",21,"sa3006781",663837,"Matt Vierling (- - -)"
"Alejo Lopez","Reds (A)",22,"sa875851",664670,"Alejo Lopez (Reds (A))"
"Johan Rojas","Phillies (R)",17,"sa3005784",679032,"Johan Rojas (Phillies (R))"
